"A1","A2","Block_nr_Condition_3","Block_nr_Condition_4","Q_high","Q_low","acc","acceptable","accuracy","average_response_time","avg_rt","background","bidi","block_eyetracker","block_number","boundary","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_high","correct_instructions","correct_keyboard_response","correct_low","correct_practice_instructions","correct_response","count_GC_sentence_trigger","count_GC_trial_end","count_Setup_Sampling_Rate","count_about_this_experiment","count_acceptability_question","count_block_sequence","count_clear_screen","count_counterbalancingMODE","count_display_sentence","count_drift_correct","count_end_of_exp","count_end_of_practice_1","count_experiment","count_experiment_block_loop","count_experimental_loop","count_eyetracker_log_unicode","count_instructions","count_keyboard_response","count_logger","count_new_sketchpad","count_practice_block_loop","count_practice_instructions","count_practice_loop","count_practice_sequence","count_prepare_gaze_target","count_prepare_sentences","count_pygaze_init","count_pygaze_start_recording","count_pygaze_stop_recording","count_reset_feedback","count_reset_feedback_1","count_select_block","count_select_practice","count_setup_condition","count_show_gaze_target_and_driftcorrect","count_trial_sequence","current_block","current_correct_text","current_question","current_sentence","datetime","description","desired_sampling_rate","disable_garbage_collection","do_practice","experiment_file","experiment_path","fix_start_time","fixated","fixation_start_time","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","form_response","freq_condition","fullscreen","gazetarget_height","gazetarget_width","has_question","height","i","index","is_Q","item_nr","key","keyboard_backend","letter_height","live_row","live_row_practice_block_loop","live_row_practice_loop","logfile","mouse_backend","num_words","on_target","opensesame_codename","opensesame_version","pretarget","pretarget_n_words","psychopy_screen","psychopy_suppress_warnings","repeat_cycle","response","response_end_of_exp","response_end_of_practice_1","response_instructions","response_keyboard_response","response_new_sketchpad","response_practice_instructions","response_time","response_time_end_of_exp","response_time_end_of_practice_1","response_time_instructions","response_time_keyboard_response","response_time_new_sketchpad","response_time_practice_instructions","round_decimals","sampler_backend","sentence","sentence_beginning","sentence_high","sentence_low","sentence_number","sentence_start_x","sentence_use","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_mod","subject_nr","subject_parity","t","t1","t2","t_display_on","target","target_word_nr","time_GC_sentence_trigger","time_GC_trial_end","time_Setup_Sampling_Rate","time_about_this_experiment","time_acceptability_question","time_block_sequence","time_clear_screen","time_counterbalancingMODE","time_display_sentence","time_drift_correct","time_end_of_exp","time_end_of_practice_1","time_experiment","time_experiment_block_loop","time_experimental_loop","time_eyetracker_log_unicode","time_instructions","time_keyboard_response","time_logger","time_new_sketchpad","time_practice_block_loop","time_practice_instructions","time_practice_loop","time_practice_sequence","time_prepare_gaze_target","time_prepare_sentences","time_pygaze_init","time_pygaze_start_recording","time_pygaze_stop_recording","time_reset_feedback","time_reset_feedback_1","time_select_block","time_select_practice","time_setup_condition","time_show_gaze_target_and_driftcorrect","time_trial_sequence","title","total_correct","total_response_time","total_responses","trial_end_trigger_fixated","trial_end_trigger_on_target","trial_type","trigger_time_gazetarget","trigger_time_trialend","uniform_coordinates","width","x","x_left_gazetarget","x_left_trialend","x_right_gazetarget","y","y_bottom_gazetarget","y_top_gazetarget","y_top_trialend"
"supermercado","narcotráfico","1","2","¿Podemos negar que el narcotráfico es un problema grave y complejo?","¿Podemos negar que el supermercado tiene una gran variedad de productos frescos y de calidad? ","0","True","0","1202","1202","white","yes","EyeLogicLite","1","460","psycho","psycho","psycho","0","relative","0","NO","undefined","0","YES","undefined","2","0","0","0","0","0","NA","1","0","0","0","0","0","0","NA","0","0","0","0","0","NA","0","0","0","0","0","0","0","0","0","NA","0","0","0","0","0","0","b2","NO","¿Podemos negar que el narcotráfico es un problema grave y complejo?","No podemos negar que el narcotráfico es un problema grave y complejo.","Wed Mar  4 15:11:24 2026","Sampling rate","250","False","Sí","EyeLogic_Experiment.osexp","C:\Users\LabCINC\Documents\Experiments\eyelogicreading","0","1","38109.196699999986","False","Courier New","False","24","no","black","no","Sí","high","yes","50","50","YES","1080","11","1005","YES","94","None","psycho","36","0","0","0","C:\Users\LabCINC\Documents\Experiments\eyelogicreading\subject-200.csv","psycho","12","1","Neonatal Nightingale","4.1.8","No podemos negar que el ","5","2","yes","0","1","NA","NA","1","1","NA","1","1202.8150999999489","NA","NA","2707.675399999973","1202.8150999999489","NA","4789.089399999968","2","psycho","No podemos negar que el narcotráfico es un problema grave y complejo.","No podemos negar que el ","No podemos negar que el narcotráfico es un problema grave y complejo.","No podemos negar que el supermercado tiene una gran variedad de productos frescos y de calidad.","303","125.0","No podemos negar que el narcotráfico es un problema grave y complejo.","1024","2","48000","-16","experiment","0","200","even","34263.2562","35926.39680000002","38109.09370000002","36183.41429999998","narcotráfico","5","34263.16410000004","36183.39330000003","34058.792100000006","NA","38216.718899999934","NA","39427.12800000004","29075.044299999943","36176.53540000004","34058.84530000003","NA","NA","10296.553000000018","NA","NA","NA","14352.230100000043","38218.05870000003","39427.17440000001","NA","33897.6811","29108.091199999988","29075.11820000002","29102.19840000002","34058.81599999998","34058.836400000015","17066.146499999944","34058.858099999954","NA","NA","NA","NA","NA","34058.826999999954","34255.58590000003","34058.63699999997","Sampling_Rate_Experiment","0","1202.8150999999489","1","1","1","practice","250","100","no","1920","1835.4316520222824","100","1728.0","150","1068.9228153713161","565.0","515.0","972.0"
"agregado","enseñado","1","2","¿El profesor ha enseñado durante pocos años en esta universidad?","¿El profesor agregó instrucciones para el proyecto? ","0","True","0","1477","1477","white","yes","EyeLogicLite","1","335","psycho","psycho","psycho","0","relative","0","NO","undefined","0","YES","undefined","2","1","1","1","0","1","NA","2","0","1","1","0","0","0","NA","0","1","0","1","1","NA","0","0","0","0","1","1","0","1","1","NA","0","0","0","1","1","1","b2","NO","¿El profesor ha enseñado durante pocos años en esta universidad?","El profesor ha enseñado durante muchos años en esta universidad.","Wed Mar  4 15:11:24 2026","Sampling rate","250","False","Sí","EyeLogic_Experiment.osexp","C:\Users\LabCINC\Documents\Experiments\eyelogicreading","0","1","43020.895099999965","False","Courier New","False","24","no","black","no","Sí","high","yes","50","50","YES","1080","9","1001","YES","280","None","psycho","36","1","1","0","C:\Users\LabCINC\Documents\Experiments\eyelogicreading\subject-200.csv","psycho","10","1","Neonatal Nightingale","4.1.8","El profesor ha ","3","2","yes","0","1","NA","NA","1","1","NA","1","1751.9737000000096","NA","NA","2707.675399999973","1751.9737000000096","NA","4789.089399999968","2","psycho","El profesor ha enseñado durante muchos años en esta universidad.","El profesor ha ","El profesor ha enseñado durante muchos años en esta universidad.","El profesor ha agregado algunas instrucciones importantes para el proyecto.","169","125.0","El profesor ha enseñado durante muchos años en esta universidad.","1024","2","48000","-16","experiment","0","200","even","40383.0279","40880.59609999994","43020.80109999997","41141.30750000004","enseñado","3","40382.92149999995","41141.283199999976","40179.522399999994","NA","43127.7212","NA","44886.96600000003","29075.044299999943","41130.73699999995","40179.561499999974","NA","NA","10296.553000000018","NA","NA","39436.49659999994","14352.230100000043","43129.079599999954","44887.012700000014","NA","33897.6811","29108.091199999988","29075.11820000002","29102.19840000002","40179.53550000004","40179.55310000002","17066.146499999944","40179.57239999998","40041.387999999984","NA","NA","NA","NA","40179.54450000002","40376.17560000001","40179.456699999944","Sampling_Rate_Experiment","0","2954.7887999999584","2","1","1","practice","250","100","no","1920","1811.2511383305982","100","1728.0","150","1062.1828528050914","565.0","515.0","972.0"
"barraca","tribuna","1","2","¿Se podía observar claramente el campo de juego desde la tribuna? ","¿Podía verse el paisaje montañoso desde la barraca? ","33","True","33","1213","1213","white","yes","EyeLogicLite","1","250","psycho","psycho","psycho","0","relative","1","YES","undefined","1","YES","undefined","1","2","2","2","0","2","NA","3","0","2","2","0","0","0","NA","0","2","0","2","2","NA","0","0","0","0","2","2","0","2","2","NA","0","0","0","2","2","2","b2","YES","¿Se podía observar claramente el campo de juego desde la tribuna? ","Desde la tribuna se podía observar claramente el campo de juego.","Wed Mar  4 15:11:24 2026","Sampling rate","250","False","Sí","EyeLogic_Experiment.osexp","C:\Users\LabCINC\Documents\Experiments\eyelogicreading","0","1","49820.600600000034","False","Courier New","False","24","no","black","no","Sí","high","yes","50","50","YES","1080","10","1004","YES","91","None","psycho","36","2","2","0","C:\Users\LabCINC\Documents\Experiments\eyelogicreading\subject-200.csv","psycho","11","1","Neonatal Nightingale","4.1.8","Desde la ","2","2","yes","0","1","NA","NA","1","1","NA","1","685.0739000000249","NA","NA","2707.675399999973","685.0739000000249","NA","4789.089399999968","2","psycho","Desde la tribuna se podía observar claramente el campo de juego.","Desde la ","Desde la tribuna se podía observar claramente el campo de juego.","Desde la barraca se podía observar el hermoso paisaje montañoso.","301","125.0","Desde la tribuna se podía observar claramente el campo de juego.","1024","2","48000","-16","experiment","0","200","even","45851.839799999994","47733.0346","49820.49129999996","47991.63020000003","tribuna","2","45851.7372","47991.608700000026","45649.492699999995","NA","49928.2829","NA","50621.10970000003","29075.044299999943","47983.31469999994","45649.536000000015","NA","NA","10296.553000000018","NA","NA","44893.85430000004","14352.230100000043","49929.95919999998","50621.17279999996","NA","33897.6811","29108.091199999988","29075.11820000002","29102.19840000002","45649.50580000004","45649.523700000034","17066.146499999944","45649.547799999935","45500.26389999993","NA","NA","NA","NA","45649.51489999999","45845.474699999955","45649.41980000003","Sampling_Rate_Experiment","1","3639.8626999999833","3","1","1","practice","250","100","no","1920","1778.6382288230839","100","1728.0","150","1048.4399913255265","565.0","515.0","972.0"
"trotando","evitando","1","2","¿Dejó él de evitar el problema complicado aunque estaba cansado?","¿Él dejó de trotar aunque estaba cansado?","25","True","25","1050","1050","white","yes","EyeLogicLite","1","616","psycho","psycho","psycho","0","relative","0","NO","undefined","0","NO","undefined","2","3","3","3","0","3","NA","4","0","3","3","0","0","0","NA","0","3","0","3","3","NA","0","0","0","0","3","3","0","3","3","NA","0","0","0","3","3","3","b2","NO","¿Dejó él de evitar el problema complicado aunque estaba cansado?","Aunque estaba cansado, él continuó evitando el problema complicado.","Wed Mar  4 15:11:24 2026","Sampling rate","250","False","Sí","EyeLogic_Experiment.osexp","C:\Users\LabCINC\Documents\Experiments\eyelogicreading","0","1","55605.05679999994","False","Courier New","False","24","no","black","no","Sí","high","yes","50","50","YES","1080","8","1002","YES","325","None","psycho","36","3","3","0","C:\Users\LabCINC\Documents\Experiments\eyelogicreading\subject-200.csv","psycho","9","1","Neonatal Nightingale","4.1.8","Aunque estaba cansado, él continuó ","5","2","yes","0","1","NA","NA","1","1","NA","1","562.3110999999917","NA","NA","2707.675399999973","562.3110999999917","NA","4789.089399999968","2","psycho","Aunque estaba cansado, él continuó evitando el problema complicado.","Aunque estaba cansado, él continuó ","Aunque estaba cansado, él continuó evitando el problema complicado.","Aunque estaba cansado, él continuó trotando con perseverancia.","182","125.0","Aunque estaba cansado, él continuó evitando el problema complicado.","1024","2","48000","-16","experiment","0","200","even","51579.574999999975","53789.63909999993","55604.978200000005","54047.031500000005","evitando","5","51579.49299999996","54047.00389999994","51372.22780000002","NA","55712.48409999999","NA","56282.415099999984","29075.044299999943","54039.82369999994","51372.26669999996","NA","NA","10296.553000000018","NA","NA","50627.677599999966","14352.230100000043","55713.762599999995","56282.458499999964","NA","33897.6811","29108.091199999988","29075.11820000002","29102.19840000002","51372.240099999995","51372.25839999996","17066.146499999944","51372.2778","51240.456999999995","NA","NA","NA","NA","51372.249399999986","51572.33339999993","51372.166900000026","Sampling_Rate_Experiment","1","4202.173799999975","4","1","1","practice","250","100","no","1920","1825.6543617678294","100","1728.0","150","1023.4591049740185","565.0","515.0","972.0"
"pisó","leyó","1","2","¿Leyó un libro interesante antes de terminar su tarea?","¿Pisó a propósito su lápiz después de terminar su tarea?","20","True","20","968","968","white","yes","EyeLogicLite","1","539","psycho","psycho","psycho","0","relative","0","NO","undefined","0","NO","undefined","2","4","4","4","0","4","NA","5","0","4","4","0","0","0","NA","0","4","0","4","4","NA","0","0","0","0","4","4","0","4","4","NA","0","0","0","4","4","4","b2","NO","¿Leyó un libro interesante antes de terminar su tarea?","Después de terminar su tarea, leyó un libro interesante.","Wed Mar  4 15:11:24 2026","Sampling rate","250","False","Sí","EyeLogic_Experiment.osexp","C:\Users\LabCINC\Documents\Experiments\eyelogicreading","0","1","60607.630800000035","False","Courier New","False","24","no","black","no","Sí","high","yes","50","50","YES","1080","8","1003","YES","19","None","psycho","36","4","4","0","C:\Users\LabCINC\Documents\Experiments\eyelogicreading\subject-200.csv","psycho","9","1","Neonatal Nightingale","4.1.8","Después de terminar su tarea, ","5","2","yes","0","1","NA","NA","1","1","NA","1","641.7980999999636","NA","NA","2707.675399999973","641.7980999999636","NA","4789.089399999968","2","psycho","Después de terminar su tarea, leyó un libro interesante.","Después de terminar su tarea, ","Después de terminar su tarea, leyó un libro interesante.","Después de terminar su tarea, pisó accidentalmente su lápiz.","193","125.0","Después de terminar su tarea, leyó un libro interesante.","1024","2","48000","-16","experiment","0","200","even","57232.21090000004","58666.871000000014","60607.52779999996","58924.475099999996","leyó","5","57232.08090000003","58924.45299999997","57025.32529999996","NA","60714.75039999996","NA","61363.65139999998","29075.044299999943","58916.99930000004","57025.364599999986","NA","NA","10296.553000000018","NA","NA","56291.364899999964","14352.230100000043","60716.169499999975","61363.692899999936","NA","33897.6811","29108.091199999988","29075.11820000002","29102.19840000002","57025.337899999955","57025.35549999993","17066.146499999944","57025.37499999994","56900.64849999999","NA","NA","NA","NA","57025.34689999993","57226.00209999996","57025.26160000002","Sampling_Rate_Experiment","1","4843.971899999939","5","1","1","practice","250","100","no","1920","1811.545947785321","100","1728.0","150","987.3384969764799","565.0","515.0","972.0"
"fingió","obtuvo","1","2","¿Consiguió el individuo el visto bueno para proceder?","¿Admitió la persona haber simulado una dolencia?","100","True","100","452","452","white","yes","EyeLogicLite","1","320","psycho","psycho","psycho","0","relative","1","YES","undefined","1","YES","undefined","1","5","5","5","0","5","0","6","0","5","5","0","0","0","0","0","5","0","5","5","0","0","0","0","0","5","5","0","5","5","0","0","0","0","5","5","5","b2","YES","¿Admitió la persona haber simulado una dolencia?","Él afirmó que fingió estar enfermo.","Wed Mar  4 15:11:24 2026","Sampling rate","250","False","Sí","EyeLogic_Experiment.osexp","C:\Users\LabCINC\Documents\Experiments\eyelogicreading","0","1","67399.7316","False","Courier New","False","24","no","black","no","Sí","low","yes","50","50","YES","1080","5","114","YES","430","None","psycho","36","0","4","0","C:\Users\LabCINC\Documents\Experiments\eyelogicreading\subject-200.csv","psycho","6","1","Neonatal Nightingale","4.1.8","Él afirmó que ","3","2","yes","0","1","NA","1","1","1","NA","1","452.4825999999448","NA","1923.9662999999637","2707.675399999973","452.4825999999448","NA","4789.089399999968","2","psycho","Él afirmó que fingió estar enfermo.","Él afirmó que ","Él afirmó que obtuvo la aprobación necesaria.","Él afirmó que fingió estar enfermo.","204","125.0","Él afirmó que fingió estar enfermo.","1024","2","48000","-16","experiment","0","200","even","64233.697900000036","65209.59870000002","67399.61970000001","65467.78180000001","fingió","3","64233.560499999956","65467.75660000003","64026.59889999995","NA","67507.01119999996","63922.13119999997","67967.18729999998","29075.044299999943","65459.80469999995","64026.64000000004","NA","61990.827299999975","10296.553000000018","63922.704599999975","63915.61339999999","61372.02409999997","14352.230100000043","67508.39080000002","67967.23339999994","NA","33897.6811","29108.091199999988","29075.11820000002","29102.19840000002","64026.612","64026.62959999998","17066.146499999944","64026.65230000002","61983.03329999999","NA","NA","NA","NA","64026.6216","64225.40389999995","64026.53469999996","Sampling_Rate_Experiment","1","452.4825999999448","1","1","1","experimental","250","100","no","1920","1789.2415173869208","100","1728.0","150","1079.038140015653","565.0","515.0","972.0"
"óvulo","disco","1","2","","","100","True","100","452","452","white","yes","EyeLogicLite","1","1035","psycho","psycho","psycho","0","relative","1","","undefined","1","","undefined","None","6","6","6","0","6","0","7","0","6","6","0","0","0","0","0","6","0","6","6","0","0","0","0","0","6","6","0","6","6","0","0","0","0","6","6","6","b2","","","Hoy en día, la tecnología nos permite crear copias exactas de un disco en cuestión de minutos.","Wed Mar  4 15:11:24 2026","Sampling rate","250","False","Sí","EyeLogic_Experiment.osexp","C:\Users\LabCINC\Documents\Experiments\eyelogicreading","0","1","76719.74609999995","False","Courier New","False","24","no","black","no","Sí","high","yes","50","50","NO","1080","16","177","NO","50","None","psycho","36","1","4","0","C:\Users\LabCINC\Documents\Experiments\eyelogicreading\subject-200.csv","psycho","17","1","Neonatal Nightingale","4.1.8","Hoy en día, la tecnología nos permite crear copias exactas de un ","12","2","yes","0","1","NA","1","1","1","NA","1","452.4825999999448","NA","1923.9662999999637","2707.675399999973","452.4825999999448","NA","4789.089399999968","2","psycho","Hoy en día, la tecnología nos permite crear copias exactas de un disco en cuestión de minutos.","Hoy en día, la tecnología nos permite crear copias exactas de un ","Hoy en día, la tecnología nos permite crear copias exactas de un disco en cuestión de minutos.","Hoy en día, la tecnología nos permite crear copias exactas de un óvulo en el laboratorio.","291","125.0","Hoy en día, la tecnología nos permite crear copias exactas de un disco en cuestión de minutos.","1024","2","48000","-16","experiment","0","200","even","69017.8479","70849.39959999998","76719.6695","71107.84369999998","disco","12","69017.57350000003","71107.81559999999","68815.5438","NA","67507.01119999996","63922.13119999997","76826.00330000003","29075.044299999943","71099.53010000003","68815.58540000003","NA","61990.827299999975","10296.553000000018","63922.704599999975","63915.61339999999","67973.82110000002","14352.230100000043","67508.39080000002","76826.04619999995","NA","33897.6811","29108.091199999988","29075.11820000002","29102.19840000002","68815.55749999995","68815.57650000002","17066.146499999944","68815.59719999996","68620.77809999994","NA","NA","NA","NA","68815.56750000005","69010.72750000004","68815.47030000002","Sampling_Rate_Experiment","1","452.4825999999448","1","1","1","experimental","250","100","no","1920","1897.5303395814517","100","1728.0","150","1014.944722999028","565.0","515.0","972.0"
"disminuyen","determinan","1","2","¿Se afirma que el triunfo depende de un único elemento aislado?","¿Plantea el texto que las causas del mal desempeño son sencillas?","50","True","50","509","509","white","yes","EyeLogicLite","1","361","psycho","psycho","psycho","0","relative","0","NO","undefined","0","NO","undefined","2","7","7","7","0","7","0","8","0","7","7","0","0","0","0","0","7","0","7","7","0","0","0","0","0","7","7","0","7","7","0","0","0","0","7","7","7","b2","NO","¿Se afirma que el triunfo depende de un único elemento aislado?","Los factores que determinan el éxito son diversos y variados.","Wed Mar  4 15:11:24 2026","Sampling rate","250","False","Sí","EyeLogic_Experiment.osexp","C:\Users\LabCINC\Documents\Experiments\eyelogicreading","0","1","82009.59239999998","False","Courier New","False","24","no","black","no","Sí","high","yes","50","50","YES","1080","9","102","YES","190","None","psycho","36","2","4","0","C:\Users\LabCINC\Documents\Experiments\eyelogicreading\subject-200.csv","psycho","10","1","Neonatal Nightingale","4.1.8","Los factores que ","3","2","yes","0","1","NA","1","1","1","NA","1","566.2151999999915","NA","1923.9662999999637","2707.675399999973","566.2151999999915","NA","4789.089399999968","2","psycho","Los factores que determinan el éxito son diversos y variados.","Los factores que ","Los factores que determinan el éxito son diversos y variados.","Los factores que disminuyen el rendimiento son diversos y complejos.","155","125.0","Los factores que determinan el éxito son diversos y variados.","1024","2","48000","-16","experiment","0","200","even","77828.77929999995","79827.61970000001","82009.5232","80086.05609999996","determinan","3","77828.67680000004","80086.0298","77619.48359999996","NA","82116.34370000001","63922.13119999997","82690.81689999996","29075.044299999943","80077.74299999994","77619.52640000005","NA","61990.827299999975","10296.553000000018","63922.704599999975","63915.61339999999","76835.57610000002","14352.230100000043","82117.70279999996","82690.96490000004","NA","33897.6811","29108.091199999988","29075.11820000002","29102.19840000002","77619.49909999999","77619.51729999998","17066.146499999944","77619.53870000002","77478.54970000003","NA","NA","NA","NA","77619.50860000002","77821.67079999999","77619.35670000003","Sampling_Rate_Experiment","1","1018.6977999999363","2","1","1","experimental","250","100","no","1920","1831.0659653046089","100","1728.0","150","1027.2444360155973","565.0","515.0","972.0"
"absolutista","profesional","1","2","","","50","True","50","509","509","white","yes","EyeLogicLite","1","447","psycho","psycho","psycho","0","relative","0","","undefined","0","","undefined","None","8","8","8","0","8","0","9","0","8","8","0","0","0","0","0","8","0","8","8","0","0","0","0","0","8","8","0","8","8","0","0","0","0","8","8","8","b2","","","Algunos piensan que el profesional no está capacitado para manejar el proyecto.","Wed Mar  4 15:11:24 2026","Sampling rate","250","False","Sí","EyeLogic_Experiment.osexp","C:\Users\LabCINC\Documents\Experiments\eyelogicreading","0","1","88394.09109999996","False","Courier New","False","24","no","black","no","Sí","high","yes","50","50","NO","1080","11","188","NO","402","None","psycho","36","3","4","0","C:\Users\LabCINC\Documents\Experiments\eyelogicreading\subject-200.csv","psycho","12","1","Neonatal Nightingale","4.1.8","Algunos piensan que el ","4","2","yes","0","1","NA","1","1","1","NA","1","566.2151999999915","NA","1923.9662999999637","2707.675399999973","566.2151999999915","NA","4789.089399999968","2","psycho","Algunos piensan que el profesional no está capacitado para manejar el proyecto.","Algunos piensan que el ","Algunos piensan que el profesional no está capacitado para manejar el proyecto.","Algunos piensan que el absolutista era un tirano cruel.","69","125.0","Algunos piensan que el profesional no está capacitado para manejar el proyecto.","1024","2","48000","-16","experiment","0","200","even","83705.828","85916.99289999997","88394.00460000001","86175.76229999997","profesional","4","83705.43339999995","86175.73989999994","83504.69020000003","NA","82116.34370000001","63922.13119999997","88500.75989999993","29075.044299999943","86167.14539999998","83504.73890000001","NA","61990.827299999975","10296.553000000018","63922.704599999975","63915.61339999999","82699.49750000001","14352.230100000043","82117.70279999996","88500.81090000004","NA","33897.6811","29108.091199999988","29075.11820000002","29102.19840000002","83504.70999999993","83504.72960000002","17066.146499999944","83504.7502","83351.76330000002","NA","NA","NA","NA","83504.72049999997","83699.38479999996","83504.62289999996","Sampling_Rate_Experiment","1","1018.6977999999363","2","1","1","experimental","250","100","no","1920","1883.0371120388318","100","1728.0","150","1023.1467248936497","565.0","515.0","972.0"
"ártico","húmedo","1","2","¿El clima en este lugar es cálido?","¿El clima en este lugar es cálido?","66","True","66","538","538","white","yes","EyeLogicLite","1","546","psycho","psycho","psycho","0","relative","1","YES","undefined","1","NO","undefined","1","9","9","9","0","9","0","10","0","9","9","0","0","0","0","0","9","0","9","9","0","0","0","0","0","9","9","0","9","9","0","0","0","0","9","9","9","b2","YES","¿El clima en este lugar es cálido?","El clima en este lugar es muy húmedo y caluroso en verano.","Wed Mar  4 15:11:24 2026","Sampling rate","250","False","Sí","EyeLogic_Experiment.osexp","C:\Users\LabCINC\Documents\Experiments\eyelogicreading","0","1","91730.56740000004","False","Courier New","False","24","no","black","no","Sí","high","yes","50","50","YES","1080","11","132","YES","37","None","psycho","36","4","4","0","C:\Users\LabCINC\Documents\Experiments\eyelogicreading\subject-200.csv","psycho","12","1","Neonatal Nightingale","4.1.8","El clima en este lugar es muy ","7","2","yes","0","1","NA","1","1","1","NA","1","596.9884999999485","NA","1923.9662999999637","2707.675399999973","596.9884999999485","NA","4789.089399999968","2","psycho","El clima en este lugar es muy húmedo y caluroso en verano.","El clima en este lugar es muy ","El clima en este lugar es muy húmedo y caluroso en verano.","El clima en este lugar es muy ártico y extremadamente frío.","39","125.0","El clima en este lugar es muy húmedo y caluroso en verano.","1024","2","48000","-16","experiment","0","200","even","89502.25339999997","89742.1273","91730.48700000004","90000.5003","húmedo","7","89502.11469999999","90000.45969999996","89297.62440000002","NA","91837.46429999996","63922.13119999997","92441.76600000003","29075.044299999943","89992.30360000001","89297.66740000002","NA","61990.827299999975","10296.553000000018","63922.704599999975","63915.61339999999","88511.04509999993","14352.230100000043","91838.78809999999","92441.80789999996","NA","33897.6811","29108.091199999988","29075.11820000002","29102.19840000002","89297.63979999996","89297.65889999998","17066.146499999944","89297.67819999995","89149.1704","NA","NA","NA","NA","89297.6499","89494.87509999995","89297.505","Sampling_Rate_Experiment","2","1615.6862999998848","3","1","1","experimental","250","100","no","1920","1795.4592259063802","100","1728.0","150","1039.796568527035","565.0","515.0","972.0"
